Nimi	Seura	PP	+-	YV	AV	HPA	PPA	Aika	YVA	YV2A	AVA	AV2A
Salminen, Sakari	Assat	VH	16	1	0	84	83	982	2391	36	263	0
Tallinder, Henrik	TPS	VP	38	1	0	316	276	1292	5748	13	6328	86
Finley, Joe	HIFK	VP	5	0	0	54	31	969	73	0	1066	0
Tuppurainen, Jani	JYP	VH	44	6	1	348	311	1078	10005	682	3292	15
Kukkonen, Lasse	Karpat	VP	32	1	0	295	259	1096	9862	126	7595	431
Heshka, Shaun	Karpat	OP	39	5	0	340	276	1206	8713	203	6729	17
Louhivaara, Ossi	JYP	OH	13	0	0	160	166	923	1422	44	4588	1
Kuusela, Kristian	Tappara	OH	37	3	0	338	357	1061	11610	395	892	0
Vahalahti, Ville	Lukko	VH	22	1	0	211	212	1110	8613	231	4963	216
Thorell, Erik	HIFK	VH	39	7	0	329	245	991	10317	192	148	0
Perrin, Eric	TPS	KH	42	6	0	308	259	1112	10163	191	2613	3
Yonkman, Nolan!	JYP	OP	23	0	0	242	280	852	230	0	8954	286
Carson, Brett	SaiPa	OP	30	0	0	344	411	1193	2384	55	9670	413
Hakanpaa, Jani	Karpat	OP	51	1	0	327	322	1062	3755	49	7129	519
Haataja, Juha-Pekka	HIFK	OH	27	5	0	91	78	649	32	0	9	0
Rask, Joonas	HIFK	OH	30	1	0	254	183	1003	6641	131	508	0
Kallio, Tomi	TPS	OH	49	4	0	271	339	940	8242	114	143	0
Nattinen, Joonas	JYP	KH	45	2	0	286	261	973	7448	221	89	0
Koivisto, Toni	Lukko	OH	32	5	0	321	341	1045	11578	232	477	49
Viitaluoma, Ville	HPK	KH	27	2	0	279	289	933	9918	361	2445	51
Lahti, Janne	HPK	VH	20	0	0	229	254	836	5932	35	131	0
Porseland, Mathias	HPK	OP	15	1	0	195	194	1104	4255	43	3623	83
Lassen, Stefan	Pelicans	OP	23	0	0	272	232	1092	1346	0	7535	174
Niskala, Janne	Lukko	VP	36	2	0	384	398	1418	12004	245	6880	231
OConnor, Ryan	HIFK	OP	28	2	0	319	276	1248	7256	350	6354	101
Tukonen, Lauri	Lukko	VH	6	0	0	75	94	867	2272	0	250	2
Partanen, Mika	Jukurit	VH	14	1	0	166	164	840	5108	396	131	0
Leimu, Juha	Pelicans	VP	16	1	0	269	176	919	7016	11	3357	2
Savilahti Nagander, Per	SaiPa	OP	22	0	0	265	325	1054	744	16	7715	105
Bertrand, Charles	Karpat	OH	58	6	0	370	298	1062	11480	126	693	0
Malinen, Jarkko	HIFK	KH	31	4	0	304	238	1036	7111	210	5190	81
Ruohomaa, Mikael	Karpat	KH	58	5	1	337	288	1175	11107	126	6303	153
Laatikainen, Arto	Ilves	VP	28	0	0	236	189	1155	1889	33	5439	335
Peltola, Jukka	Tappara	OH	37	1	2	273	295	1211	9978	296	10292	83
Keranen, Janne	Lukko	VH	35	5	0	322	335	1048	10856	205	2034	35
Laakso, Tapio	Ilves	KH	24	5	2	237	242	1094	7477	346	8677	295
Pikkarainen, Ilkka	TPS	VH	24	4	0	198	204	789	5659	12	3022	27
Rantakari, Otso	Tappara	OP	25	5	0	273	273	990	7657	353	173	0
Heikkinen, Ilkka	TPS	OP	37	10	0	340	337	1315	11591	381	7729	157
Nurmi, Teemu	Tappara	OH	10	1	0	154	139	552	1233	0	95	0
Blood, Ben	Assat	VP	33	0	0	291	403	1100	542	0	8375	154
Ahtola, Jerry	HIFK	KH	4	0	0	116	113	538	682	0	369	0
Lehtonen, Mikko	Tappara	VP	35	7	0	359	374	1282	8475	318	3261	14
Kankaanpera, Markus	HIFK	VP	29	0	1	206	267	1130	399	0	7562	148
Lofman, Anssi	SaiPa	OH	10	3	1	120	116	1026	3144	150	1712	47
Junttila, Julius	Karpat	VH	51	4	0	214	232	735	1045	0	5458	97
Suomela, Antti	JYP	KH	54	4	0	353	291	947	8624	93	882	0
Marttinen, Jyri	Lukko	VP	26	1	0	259	290	1177	2287	10	5086	39
Tyrvainen, Antti	Pelicans	KH	27	5	0	301	268	1003	8672	234	6671	211
Tyrvainen, Juhani	HIFK	KH	38	4	1	331	263	1089	8581	131	3817	0
Ojamaki, Niko	Tappara	OH	24	1	0	320	249	811	2917	4	419	0
Eronen, Teemu	HIFK	VP	23	1	0	166	143	1274	4483	229	3477	77
Kantola, Kai	KalPa	OH	35	0	0	217	189	886	2910	3	6517	0
Kalteva, Mikko	JYP	VP	48	1	1	343	318	1146	8291	180	5699	428
Maenpaa, Mikko	JYP	OP	35	2	0	314	251	1148	7875	504	555	0
Sandell, Sami	Ilves	KH	37	6	0	306	225	1053	11330	389	267	6
Taipalus, Lauri	SaiPa	VP	21	0	0	191	217	1081	3600	172	3569	52
Hytonen, Juha-Pekka	JYP	KH	30	6	1	258	269	820	1440	0	4507	3
Juolevi, Olli	TPS	VP	34	3	0	239	193	1072	4348	0	1529	0
Filppula, Ilari	TPS	KH	30	1	0	5	8	389	0	0	0	0
Kousa, Mikko	Pelicans	OP	35	6	0	429	358	1459	11702	196	5457	59
Jakobsson, Robin	KooKoo	OP	3	0	0	62	76	1305	1301	65	1653	2
Tavi, Janne	KalPa	VH	31	3	0	328	277	1072	8649	73	7502	60
Karki, Jarno	Assat	VH	36	5	0	282	288	979	7509	237	2712	14
Niemela, Mikko	Karpat	OP	28	0	0	302	281	956	274	0	4924	30
Koivisto, Henrik	KooKoo	KH	9	0	0	234	306	914	7611	153	96	0
Virta, Patrik	TPS	OH	39	6	0	313	283	1023	12099	176	2617	27
Petrell, Lennart	HIFK	VH	27	2	0	301	217	979	4628	130	7051	59
Elorinne, Aleksi	Tappara	VP	24	0	0	296	342	948	204	0	8052	145
Peltola, Niko	Assat	VP	40	0	0	357	370	1203	2724	5	12566	468
Sopanen, Vili	HIFK	OH	34	6	0	272	221	1041	7459	143	2544	0
Hamilton, Curtis	SaiPa	OH	9	0	0	164	104	954	5218	171	48	0
Kuparinen, Matti	Assat	KH	32	0	0	202	293	889	2949	49	8519	251
Vainio, Juuso	JYP	OP	37	0	0	342	297	1016	1308	21	5872	83
Virtanen, Jonne	TPS	KH	8	0	0	145	190	763	52	0	5542	67
Jarvinen, Jan-Mikael	Tappara	KH	19	3	0	129	185	752	819	0	5034	26
Tiivola, Peter	Lukko	KH	27	3	0	265	309	928	7128	43	2123	36
Ahonen, Rony	Lukko	VP	39	1	1	354	402	1222	8053	20	6995	339
Piitulainen, Jesper	Jukurit	OH	23	3	0	294	299	898	10480	766	102	0
Teppo, Miihkali	HIFK	VP	22	0	0	196	184	983	807	0	3100	23
Kuukka, Mikko	JYP	VP	33	0	0	334	404	1208	330	0	10665	417
Koivisto, Miika	Karpat	VP	53	4	0	393	320	1321	10706	126	7600	186
Rautiainen, Teemu	Ilves	VH	39	4	0	305	254	998	9022	337	48	0
Budish, Zach	TPS	OH	36	6	0	352	391	1222	11406	312	5418	29
Paajanen, Otto	HPK	KH	32	5	2	315	326	1153	12166	243	6943	376
Kolehmainen, Janne	JYP	VH	18	0	1	223	209	811	311	0	7843	115
Mustonen, Aleksi	Pelicans	KH	24	4	0	308	204	1008	6597	0	6102	113
Nikkila, Petteri	HPK	OP	24	2	0	354	389	1304	5758	3	8110	395
Nykopp, Thomas	HIFK	KH	25	1	1	228	170	926	4665	82	3861	27
Koho, Ville	SaiPa	KH	23	1	0	214	244	956	4264	220	6193	237
Leino, Robert	HPK	KH	20	1	0	162	180	1004	5128	54	2888	72
Kemilainen, Valtteri	Tappara	OP	30	2	0	342	340	1051	4318	0	4418	11
Vauhkonen, Olavi	Sport	OH	30	6	0	322	274	969	8986	428	297	0
Lehtivuori, Joonas	HPK	VP	31	4	1	288	310	1294	11788	280	6946	541
Jasu, Juhani	Tappara	KH	17	6	1	84	58	512	1393	0	31	0
Jokinen, Tommi	KalPa	VH	20	2	0	253	267	1104	7087	299	8206	96
Kahkonen, Toni	KooKoo	VH	38	4	0	292	286	1150	9155	276	5151	259
Ramstedt, Teemu	Lukko	KH	22	2	0	188	185	1202	6679	131	4006	410
Karjalainen, Jere	Tappara	OH	30	0	0	276	238	957	8612	302	75	0
Kalapudas, Antti	Sport	KH	41	2	0	253	313	1018	6797	141	5448	211
Mankinen, Jesse	Pelicans	VH	25	3	1	224	182	1099	8041	189	3663	33
Lahteenmaki, Sami	Assat	OH	26	6	1	246	265	1096	7490	240	5989	0
Komulainen, Joonas	Sport	KH	18	0	0	222	184	935	6465	161	297	0
Makkonen, Jussi	Assat	KH	27	2	1	247	257	1131	5639	47	7346	315
Maenalanen, Saku	Karpat	VH	45	7	0	305	271	954	10175	203	2632	0
Ilomaki, Arttu	Lukko	KH	31	6	1	94	102	717	28	0	238	0
Lukka, Santeri	KalPa	OP	30	2	0	421	351	1332	8424	209	10120	34
Kangasniemi, Antti	Ilves	KH	2	0	0	254	323	859	6237	285	5935	122
Liedes, Heikki	Lukko	VH	25	0	0	259	308	838	1806	53	4538	8
Vaakanainen, Urho	SaiPa	VP	30	0	0	296	301	1316	2444	2	8136	306
Mikkola, Niko	Tappara	VP	41	0	0	343	358	1271	157	0	8589	20
Lasu, Nicklas	Karpat	KH	44	3	0	317	270	1054	10163	203	6815	398
Varakas, Ville	HIFK	VP	26	0	0	263	230	1170	450	0	5828	59
Laganiere, Antoine	Assat	KH	38	5	0	329	296	952	8706	47	1022	0
Riikola, Juuso	KalPa	VP	32	4	0	406	356	1421	9917	225	11466	263
Junnila, Jyri	Karpat	VH	19	0	0	55	69	544	118	0	44	0
Matushkin, Maksim	Assat	VP	47	4	1	370	386	1134	10002	218	405	0
Hakulinen, Anrei	KooKoo	VH	15	5	0	278	203	902	6098	173	405	0
Stromberg, Kim	SaiPa	OH	19	2	0	198	252	864	4374	153	3490	0
Forsstrom, Jani	TPS	VP	24	0	0	261	273	946	374	0	7462	118
Tuulola, Joni	Sport	VP	45	2	0	406	405	1379	9358	495	8441	18
Newton, Jake	JYP	VP	42	3	0	390	372	1236	11323	500	6464	90
Ruuttu, Alexander	KalPa	OH	23	11	0	259	198	987	8473	60	6796	216
Viljanen, Valtteri	Ilves	OP	27	0	0	277	208	802	3422	23	495	0
Maione, Mathew	KalPa	OP	44	1	0	374	322	1217	11431	192	431	0
Eronen, Elmeri	TPS	OP	33	2	0	375	315	1266	5991	44	8868	69
Sillanpaa, Severi	HPK	KH	10	0	0	143	218	747	376	0	5866	319
Riikola, Simo-Pekka	Lukko	OP	28	0	0	288	301	979	1330	0	5396	122
Salo, Robin	Sport	VP	22	0	0	237	239	976	3214	0	2237	39
Asplund, Turo	Jukurit	KH	23	6	0	218	311	1192	8635	565	6199	120
Vesalainen, Kristian	Karpat	VH	26	14	0	241	260	1015	9081	73	1034	0
Suoranta, Simon	Assat	VH	18	0	2	111	122	977	2061	0	2687	0
Seppala, Jere	Assat	OP	32	0	0	224	227	1105	1896	0	7989	402
Sailio, Jari	Karpat	VH	19	0	0	238	251	836	672	0	3365	0
Siikonen, Miska	Pelicans	KH	26	5	0	260	236	1002	7307	11	4722	158
Asten, Micke-Max	HIFK	OH	19	0	0	248	227	817	789	0	6495	6
Salmio, Mikko	Assat	VH	20	3	0	149	196	944	3757	0	4756	0
Humaloja, Miska	Karpat	KH	22	0	0	54	55	582	46	0	92	0
Riska, Erik	Sport	KH	16	2	1	226	310	921	6396	296	7395	156
Salmela, Saku	HIFK	OP	17	0	0	293	213	834	2978	74	2520	1
Kuronen, Mikael	Ilves	VH	12	0	0	118	120	722	753	30	2004	0
Tamminen, Henri	HIFK	OH	4	0	0	72	69	503	380	0	0	0
Nikko, Joni	SaiPa	OH	15	5	0	169	183	724	5166	70	644	0
Salminen, Saku	SaiPa	KH	12	0	0	160	202	715	736	2	2485	11
Keranen, Juho	Lukko	OH	10	0	0	186	259	790	3123	38	4775	120
Korhonen, Ville	Assat	VH	34	2	1	332	307	1106	8381	265	7594	0
Tallberg, Teemu	HIFK	VH	30	6	2	283	340	1097	9680	505	7086	94
Vittasmaki, Veli-Matti	Tappara	VP	37	0	0	344	322	1159	858	15	8691	151
